Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Seniority_Days,TotalSpend,TotalChildren,Is_Couple,CmpAccepted_Total,WebRatio,AvgSpendPerPurchase,Education_Enc
Master,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,55,314,268,0,0,0,0.2727272727272727,24.363636363636363,3
Master,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,80,346,266,0,0,0,0.25,22.166666666666668,3
Basic,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,51,565,37,1,1,0,0.2,7.4,0
Graduation,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,57,244,37,3,1,0,0.3333333333333333,6.166666666666667,2
PhD,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,55,597,882,0,0,0,0.2608695652173913,38.34782608695652,4
Graduation,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,50,338,373,2,1,0,0.42857142857142855,26.642857142857142,2
Master,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,59,419,35,3,0,0,0.2,7.0,3
PhD,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,48,391,107,2,1,0,0.0,53.5,4
Graduation,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,46,468,42,2,0,0,0.2,8.4,2
Master,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,64,681,326,1,1,0,0.07692307692307693,25.076923076923077,3
PhD,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,63,353,404,1,1,0,0.4,26.933333333333334,4
Graduation,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,53,350,95,0,0,0,0.3333333333333333,15.833333333333334,2
Graduation,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,75,111,939,0,0,2,0.2857142857142857,67.07142857142857,2
2n Cycle,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,46,183,33,1,0,0,0.2,6.6,1
2n Cycle,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,69,391,981,0,1,1,0.2857142857142857,46.714285714285715,1
Graduation,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,48,525,36,1,1,0,0.3333333333333333,6.0,2
Graduation,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,49,391,1237,1,0,0,0.4,61.85,2
Graduation,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,64,646,1825,1,1,0,0.39285714285714285,65.17857142857143,2
PhD,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,47,661,103,2,0,0,0.42857142857142855,14.714285714285714,4
Graduation,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,47,558,191,1,0,0,0.4,19.1,2
PhD,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,54,222,1586,1,1,0,0.2916666666666667,66.08333333333333,4
PhD,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,66,16,963,0,1,0,0.21428571428571427,68.78571428571429,4
2n Cycle,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,54,165,889,1,1,0,0.2727272727272727,40.40909090909091,1
2n Cycle,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,64,134,93,0,0,1,0.2857142857142857,13.285714285714286,1
Graduation,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,51,437,1587,0,0,0,0.2857142857142857,75.57142857142857,2
Graduation,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,62,111,16,3,0,0,0.25,4.0,2
Graduation,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,72,390,1375,0,0,0,0.28125,42.96875,2
Graduation,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,62,537,393,1,1,0,0.2857142857142857,28.071428571428573,2
Master,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,74,639,1477,1,0,0,0.36363636363636365,67.13636363636364,3
Graduation,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,53,235,1179,1,1,1,0.35294117647058826,69.3529411764706,2
Graduation,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,64,632,1005,1,1,0,0.17391304347826086,43.69565217391305,2
PhD,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,76,47,1348,0,1,0,0.23809523809523808,64.19047619047619,4
PhD,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,65,546,1307,1,0,0,0.45,65.35,4
Graduation,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,60,418,486,1,0,1,0.35714285714285715,34.714285714285715,2
Master,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,77,476,2252,0,1,2,0.3076923076923077,173.23076923076923,3
PhD,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,53,315,235,2,1,0,0.2727272727272727,21.363636363636363,4
Graduation,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,54,524,1724,0,1,2,0.2903225806451613,55.61290322580645,2
Master,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,54,198,235,1,0,0,0.2727272727272727,21.363636363636363,3
Master,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,47,37,1092,1,1,0,0.2692307692307692,42.0,3
Graduation,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,66,286,599,1,1,0,0.4375,37.4375,2
Master,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,64,132,2008,0,0,1,0.2,100.4,3
Graduation,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,39,671,48,1,1,0,0.2,9.6,2
Graduation,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,50,686,1174,1,1,0,0.32142857142857145,41.92857142857143,2
PhD,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,74,77,67,1,1,0,0.14285714285714285,9.571428571428571,4
Graduation,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,69,695,365,1,0,0,0.5,26.071428571428573,2
Graduation,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,49,142,6,0,0,0,0.0,6.0,2
Graduation,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,71,176,165,1,1,0,0.3333333333333333,18.333333333333332,2
2n Cycle,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,66,645,210,0,1,0,0.3,21.0,1
PhD,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,77,302,1095,1,1,0,0.34615384615384615,42.11538461538461,4
PhD,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,58,251,223,3,0,1,0.3333333333333333,24.77777777777778,4
Graduation,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,61,569,597,1,1,0,0.3684210526315789,31.42105263157895,2
Graduation,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,39,227,22,1,1,0,0.0,5.5,2
Graduation,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,49,186,1064,1,0,0,0.25,44.333333333333336,2
Basic,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,44,660,74,0,1,0,0.3333333333333333,12.333333333333334,0
Master,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,68,544,26,0,1,0,0.2,5.2,3
Graduation,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,65,548,60,0,1,0,0.2,12.0,2
PhD,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,50,409,20,1,1,0,0.25,5.0,4
Basic,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,37,277,59,1,0,0,0.3333333333333333,9.833333333333334,0
PhD,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,56,416,34,1,1,0,0.2,6.8,4
2n Cycle,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,53,234,198,2,1,0,0.3,19.8,1
PhD,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,60,335,1048,1,1,0,0.2692307692307692,40.30769230769231,4
Master,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,62,233,574,2,0,0,0.29411764705882354,33.76470588235294,3
Graduation,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,54,655,1029,1,0,0,0.2857142857142857,73.5,2
Graduation,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,44,195,670,1,1,0,0.3157894736842105,35.26315789473684,2
PhD,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,49,575,990,1,0,0,0.13333333333333333,66.0,4
Graduation,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,50,38,11,2,1,0,0.25,2.75,2
PhD,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,61,607,1241,1,1,1,0.5263157894736842,65.3157894736842,4
Graduation,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,45,178,576,0,0,0,0.11764705882352941,33.88235294117647,2
2n Cycle,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,39,378,172,1,1,1,0.4444444444444444,19.11111111111111,1
PhD,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,44,188,664,0,0,0,0.15,33.2,4
Graduation,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,61,254,928,1,0,0,0.36363636363636365,42.18181818181818,2
Graduation,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,57,668,2074,0,0,0,0.36666666666666664,69.13333333333334,2
2n Cycle,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,42,339,467,0,1,0,0.5333333333333333,31.133333333333333,1
Graduation,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,69,248,257,1,1,0,0.2727272727272727,23.363636363636363,2
Graduation,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,57,192,1146,0,1,0,0.11764705882352941,67.41176470588235,2
PhD,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,48,479,689,1,0,0,0.2631578947368421,36.26315789473684,4
PhD,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,52,655,2114,0,0,0,0.22727272727272727,96.0909090909091,4
PhD,160803.0,0,0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,42,694,1717,0,1,0,0.0,57.233333333333334,4
PhD,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,35,44,1346,0,1,2,0.14285714285714285,64.0952380952381,4
PhD,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,55,272,1044,0,1,0,0.26666666666666666,69.6,4
PhD,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,64,633,493,1,0,1,0.23529411764705882,29.0,4
Graduation,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,54,308,957,0,0,0,0.38461538461538464,73.61538461538461,2
Master,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,66,352,270,1,1,0,0.1,27.0,3
Basic,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,72,239,29,0,1,0,0.2,5.8,0
Master,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,75,396,121,2,0,0,0.2857142857142857,17.285714285714285,3
Master,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,63,338,126,2,1,0,0.25,15.75,3
Graduation,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,29,95,23,0,0,0,0.25,5.75,2
PhD,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,75,447,57,2,0,0,0.3333333333333333,9.5,4
Graduation,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,63,238,636,0,0,0,0.42105263157894735,33.473684210526315,2
Graduation,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,64,81,1004,0,1,1,0.35714285714285715,35.857142857142854,2
Graduation,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,51,285,734,1,0,0,0.5,40.77777777777778,2
Graduation,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,46,109,614,2,1,0,0.42105263157894735,32.31578947368421,2
Graduation,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,46,138,1453,1,0,1,0.2631578947368421,76.47368421052632,2
Master,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,36,61,1621,0,0,3,0.2,108.06666666666666,3
Master,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,56,185,187,1,0,0,0.4,18.7,3
Graduation,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,38,535,1443,1,1,2,0.38095238095238093,68.71428571428571,2
PhD,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,54,2,57,1,0,0,0.16666666666666666,9.5,4
Graduation,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,73,445,637,1,0,0,0.47368421052631576,33.526315789473685,2
PhD,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,76,220,948,1,1,1,0.16666666666666666,79.0,4
Master,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,53,535,59,1,1,1,0.2,11.8,3
Graduation,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,38,352,18,1,1,0,0.25,4.5,2
Master,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,59,616,903,1,0,0,0.30434782608695654,39.26086956521739,3
Graduation,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,49,494,112,1,0,0,0.2857142857142857,16.0,2
Graduation,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,71,411,596,0,1,0,0.2777777777777778,33.111111111111114,2
Graduation,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,42,326,233,1,1,0,0.36363636363636365,21.181818181818183,2
PhD,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,49,569,1511,0,1,0,0.2727272727272727,137.36363636363637,4
2n Cycle,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,64,644,1152,0,0,1,0.29411764705882354,67.76470588235294,1
Graduation,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,46,503,48,1,1,0,0.3333333333333333,8.0,2
Graduation,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,54,455,1185,1,0,0,0.4230769230769231,45.57692307692308,2
Graduation,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,66,92,21,2,0,0,0.25,5.25,2
Master,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,59,557,965,1,1,0,0.3333333333333333,64.33333333333333,3
Graduation,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,70,423,869,0,1,0,0.5238095238095238,41.38095238095238,2
PhD,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,40,37,16,1,1,0,0.2,3.2,4
Graduation,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,59,501,1947,0,1,0,0.3125,121.6875,2
Graduation,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,48,697,71,1,1,1,0.5,8.875,2
Graduation,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,58,21,65,1,1,0,0.3333333333333333,10.833333333333334,2
Graduation,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,69,218,1380,0,1,1,0.25,57.5,2
Master,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,48,155,1027,0,0,0,0.13043478260869565,44.65217391304348,3
Master,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,59,261,411,3,1,0,0.4,27.4,3
Graduation,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,33,440,836,0,1,1,0.4230769230769231,32.15384615384615,2
PhD,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,75,275,11,2,0,0,0.0,2.75,4
PhD,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,71,691,480,2,1,0,0.4375,30.0,4
Graduation,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,46,382,606,2,1,0,0.23529411764705882,35.64705882352941,2
PhD,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,76,256,284,3,0,0,0.5,23.666666666666668,4
Graduation,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,51,263,1472,2,0,3,0.3333333333333333,122.66666666666667,2
Graduation,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,75,61,1677,0,1,3,0.15384615384615385,64.5,2
Graduation,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,51,457,1335,1,1,0,0.4444444444444444,74.16666666666667,2
Master,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,72,26,334,1,1,0,0.3076923076923077,25.692307692307693,3
Basic,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,35,468,18,1,1,0,0.25,4.5,0
Graduation,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,55,689,1338,1,1,0,0.3684210526315789,70.42105263157895,2
PhD,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,71,463,1099,1,0,0,0.2222222222222222,40.7037037037037,4
Master,34941.0,1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,68,480,97,2,1,0,0.42857142857142855,13.857142857142858,3
PhD,48767.0,1,2,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,74,179,63,3,0,0,0.2857142857142857,9.0,4
2n Cycle,38702.0,1,0,71,13,11,24,13,8,40,2,3,0,4,6,0,0,0,0,0,0,0,46,332,109,1,1,0,0.375,13.625,1
Graduation,82224.0,0,0,83,307,26,360,138,31,40,1,6,9,5,3,0,0,0,1,0,0,0,60,155,902,0,1,1,0.2857142857142857,42.95238095238095,2
Graduation,83844.0,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,1,0,0,0,0,72,413,1574,0,1,1,0.2,78.7,2
2n Cycle,17003.0,1,0,37,2,5,12,4,8,7,3,2,0,4,5,0,0,0,0,0,0,0,49,202,38,1,1,0,0.2857142857142857,5.428571428571429,1
Graduation,71163.0,0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,29,112,960,0,0,0,0.125,40.0,2
Graduation,33697.0,1,0,34,4,3,7,0,3,11,1,1,0,2,7,1,0,0,0,0,0,0,54,287,28,1,0,1,0.25,7.0,2
2n Cycle,63564.0,0,0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,1,70,151,1215,0,1,1,0.35714285714285715,43.392857142857146,1
PhD,83443.0,0,0,89,518,42,742,55,56,84,1,6,10,5,2,0,0,0,0,0,0,0,52,180,1497,0,1,0,0.2727272727272727,68.04545454545455,4
PhD,51518.0,0,1,92,350,8,66,17,4,4,2,3,2,10,3,0,0,0,0,0,0,0,66,269,449,1,1,0,0.1875,28.0625,4
Graduation,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,49,186,1064,1,0,0,0.25,44.333333333333336,2
Graduation,80952.0,0,0,20,778,178,689,41,27,44,1,8,5,11,8,0,1,1,1,0,0,1,55,486,1757,0,1,3,0.32,70.28,2
Graduation,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,0,45,58,1440,0,1,0,0.38095238095238093,68.57142857142857,2
2n Cycle,63855.0,0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,46,505,1006,0,1,0,0.2916666666666667,41.916666666666664,1
PhD,62220.0,0,1,55,799,12,375,16,12,12,5,7,6,5,6,0,0,0,0,0,0,1,52,687,1226,1,1,0,0.3684210526315789,64.52631578947368,4
Graduation,58512.0,0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,60,283,1171,1,1,0,0.1875,73.1875,2
Master,40662.0,1,0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,45,471,92,1,1,0,0.2857142857142857,13.142857142857142,3
PhD,38829.0,0,1,86,76,0,7,0,0,16,1,3,2,2,5,0,0,0,0,0,0,0,65,84,99,1,1,0,0.375,12.375,4
2n Cycle,35523.0,1,0,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,43,269,66,1,1,0,0.42857142857142855,9.428571428571429,1
Graduation,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,57,66,564,2,0,0,0.4444444444444444,31.333333333333332,2
Master,78285.0,0,0,13,647,107,391,175,67,40,1,6,4,10,3,0,0,0,0,0,0,0,36,244,1427,0,1,0,0.2857142857142857,67.95238095238095,3
PhD,31626.0,1,0,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,0,1,46,415,86,1,0,1,0.3333333333333333,14.333333333333334,4
Graduation,75127.0,0,0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,0,0,72,38,833,0,0,0,0.10526315789473684,43.8421052631579,2
Graduation,48726.0,0,1,90,138,3,38,4,0,59,3,3,2,4,6,0,0,0,0,0,0,0,69,428,242,1,1,0,0.3,24.2,2
Graduation,74985.0,0,0,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,47,656,1869,0,1,0,0.17647058823529413,109.94117647058823,2
Graduation,67430.0,0,0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,37,662,1364,0,1,0,0.3793103448275862,47.03448275862069,2
2n Cycle,46891.0,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,59,301,183,1,1,0,0.25,22.875,1
Master,62058.0,0,1,52,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,0,68,399,450,1,1,0,0.4,30.0,3
Graduation,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,45,361,758,1,1,0,0.25,37.9,2
PhD,78939.0,0,0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,0,73,199,1507,0,1,0,0.4,75.35,4
Graduation,42720.0,1,1,9,392,5,91,28,26,112,8,7,3,7,8,0,0,0,0,0,0,1,59,431,654,2,0,0,0.3888888888888889,36.333333333333336,2
Graduation,33622.0,1,1,22,39,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,0,52,442,81,2,1,0,0.2857142857142857,11.571428571428571,2
PhD,6835.0,0,1,76,107,2,12,2,2,12,0,0,0,1,20,0,0,0,0,0,0,0,67,568,137,1,1,0,0.0,68.5,4
Graduation,41452.0,1,1,86,13,0,3,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,71,480,16,2,1,0,0.25,4.0,2
PhD,40760.0,0,1,64,70,0,17,0,0,6,2,2,1,3,6,0,0,0,0,0,0,0,59,303,93,1,0,0,0.2857142857142857,13.285714285714286,4
PhD,74250.0,0,0,90,680,11,392,75,0,0,1,2,11,4,1,0,0,0,0,0,0,0,66,154,1158,0,1,0,0.1111111111111111,64.33333333333333,4
Master,51124.0,1,1,79,26,1,11,0,1,4,2,1,0,3,3,0,0,0,0,0,0,0,69,193,43,2,0,0,0.2,8.6,3
Graduation,72258.0,0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,53,290,1525,1,0,0,0.2857142857142857,72.61904761904762,2
PhD,71466.0,0,0,86,412,12,546,78,182,0,1,4,4,10,1,0,0,0,0,0,0,0,50,85,1230,0,0,0,0.21052631578947367,64.73684210526316,4
Graduation,36283.0,1,1,42,6,5,5,8,0,5,2,1,0,3,4,0,0,0,0,0,0,0,48,76,29,2,1,0,0.2,5.8,2
Graduation,20587.0,1,0,39,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,54,49,25,1,0,0,0.2,5.0,2
